Target Distance: 100, Step Size: 5
0: (x, y) = (0.522642, -4.97261)
1: (x, y) = (-0.345599, -0.0485707)
2: (x, y) = (4.52625, -1.17333)
3: (x, y) = (8.12295, -4.64662)
4: (x, y) = (5.54776, -0.360781)
5: (x, y) = (0.879858, -2.15262)
6: (x, y) = (3.74774, 1.94314)
7: (x, y) = (3.835, 6.94238)
8: (x, y) = (8.81598, 6.5066)
9: (x, y) = (10.1101, 11.3362)
10: (x, y) = (11.4042, 16.1659)
11: (x, y) = (14.6845, 12.3923)
12: (x, y) = (10.8542, 15.6062)
13: (x, y) = (14.2642, 19.263)
14: (x, y) = (10.3785, 16.1164)
15: (x, y) = (6.38532, 19.1255)
16: (x, y) = (2.61178, 22.4058)
17: (x, y) = (7.59275, 22.8416)
18: (x, y) = (10.4606, 26.9373)
19: (x, y) = (5.8929, 24.9036)
20: (x, y) = (3.85922, 20.3359)
21: (x, y) = (-0.776698, 18.4629)
22: (x, y) = (0.26286, 13.5721)
23: (x, y) = (0.52454, 8.57899)
24: (x, y) = (4.66973, 5.78303)
25: (x, y) = (0.624643, 2.8441)
26: (x, y) = (-1.0032, 7.5717)
27: (x, y) = (-3.03688, 3.00397)
28: (x, y) = (-7.88836, 4.21358)
29: (x, y) = (-8.92792, 9.10432)
30: (x, y) = (-12.6436, 5.75866)
31: (x, y) = (-12.0343, 10.7214)
32: (x, y) = (-10.6561, 15.5277)
33: (x, y) = (-9.87394, 20.4661)
34: (x, y) = (-9.78667, 15.4669)
35: (x, y) = (-14.6163, 14.1728)
36: (x, y) = (-13.4915, 9.30096)
37: (x, y) = (-9.34636, 6.505)
38: (x, y) = (-13.9141, 8.53868)
39: (x, y) = (-18.2442, 11.0387)
40: (x, y) = (-17.9825, 6.04553)
41: (x, y) = (-21.1291, 2.1598)
42: (x, y) = (-22.1687, 7.05054)
43: (x, y) = (-20.8746, 2.22091)
44: (x, y) = (-25.2477, 4.64496)
45: (x, y) = (-30.1195, 3.5202)
46: (x, y) = (-28.2465, 8.15612)
47: (x, y) = (-26.5364, 3.45766)
48: (x, y) = (-31.2917, 1.91257)
49: (x, y) = (-34.0877, 6.05776)
50: (x, y) = (-29.1151, 6.5804)
51: (x, y) = (-28.5924, 11.553)
52: (x, y) = (-33.3477, 10.0079)
53: (x, y) = (-38.0462, 11.718)
54: (x, y) = (-33.0492, 11.5435)
55: (x, y) = (-37.8555, 12.9217)
56: (x, y) = (-33.0492, 14.2999)
57: (x, y) = (-34.5111, 19.0814)
58: (x, y) = (-31.3645, 22.9672)
59: (x, y) = (-28.4966, 27.0629)
60: (x, y) = (-27.7144, 32.0014)
61: (x, y) = (-31.8102, 34.8692)
62: (x, y) = (-26.8861, 35.7375)
63: (x, y) = (-31.4177, 37.8506)
64: (x, y) = (-34.8277, 34.1938)
65: (x, y) = (-33.8736, 29.2857)
66: (x, y) = (-28.9496, 28.4174)
67: (x, y) = (-24.3137, 30.2905)
68: (x, y) = (-26.8137, 34.6206)
69: (x, y) = (-22.0584, 36.1657)
70: (x, y) = (-18.4617, 39.639)
71: (x, y) = (-14.2683, 42.3622)
72: (x, y) = (-16.0602, 37.6943)
73: (x, y) = (-20.2053, 40.4902)
74: (x, y) = (-16.4318, 37.2099)
75: (x, y) = (-16.2573, 32.213)
76: (x, y) = (-11.5894, 30.4211)
77: (x, y) = (-12.5434, 25.513)
78: (x, y) = (-17.1794, 23.64)
79: (x, y) = (-13.8991, 27.4135)
80: (x, y) = (-9.29654, 29.3672)
81: (x, y) = (-8.4283, 34.2912)
82: (x, y) = (-11.9016, 37.8879)
83: (x, y) = (-15.6751, 34.6076)
84: (x, y) = (-18.0992, 30.2345)
85: (x, y) = (-13.1114, 30.5833)
86: (x, y) = (-14.1509, 25.6926)
87: (x, y) = (-17.2975, 29.5783)
88: (x, y) = (-12.516, 28.1164)
89: (x, y) = (-9.36941, 24.2307)
90: (x, y) = (-14.3572, 23.8819)
91: (x, y) = (-12.1654, 28.3759)
92: (x, y) = (-8.02018, 25.5799)
93: (x, y) = (-5.9865, 30.1477)
94: (x, y) = (-9.87223, 27.001)
95: (x, y) = (-14.7441, 25.8763)
96: (x, y) = (-9.85334, 24.8367)
97: (x, y) = (-9.07117, 29.7752)
98: (x, y) = (-8.80949, 34.7683)
99: (x, y) = (-10.3546, 39.5236)
100: (x, y) = (-11.1367, 44.462)
101: (x, y) = (-14.4824, 48.1778)
102: (x, y) = (-9.61055, 49.3025)
103: (x, y) = (-13.4408, 46.0886)
104: (x, y) = (-17.7709, 48.5886)
105: (x, y) = (-13.3562, 46.2412)
106: (x, y) = (-16.7662, 49.898)
107: (x, y) = (-11.7692, 50.0725)
108: (x, y) = (-12.9788, 54.924)
109: (x, y) = (-17.4338, 52.654)
110: (x, y) = (-14.2872, 56.5398)
111: (x, y) = (-17.2963, 60.5329)
112: (x, y) = (-15.7512, 55.7776)
113: (x, y) = (-13.028, 59.971)
114: (x, y) = (-16.8016, 56.6907)
115: (x, y) = (-13.028, 59.971)
116: (x, y) = (-11.0744, 55.3685)
117: (x, y) = (-13.4984, 59.7416)
118: (x, y) = (-18.4225, 60.6098)
119: (x, y) = (-17.8998, 55.6372)
120: (x, y) = (-15.3998, 51.3071)
121: (x, y) = (-18.8098, 47.6503)
122: (x, y) = (-23.0501, 45.0007)
123: (x, y) = (-23.3988, 40.0129)
124: (x, y) = (-21.4452, 35.4104)
125: (x, y) = (-18.722, 31.217)
126: (x, y) = (-14.3072, 28.8697)
127: (x, y) = (-13.3532, 23.9615)
128: (x, y) = (-14.5628, 19.11)
129: (x, y) = (-12.771, 14.4421)
130: (x, y) = (-13.5531, 9.5037)
131: (x, y) = (-8.57217, 9.06792)
132: (x, y) = (-6.45908, 4.53638)
133: (x, y) = (-6.0233, -0.444589)
134: (x, y) = (-5.8488, 4.55237)
135: (x, y) = (-5.50002, 9.54019)
136: (x, y) = (-7.92407, 13.9133)
137: (x, y) = (-8.18575, 18.9064)
138: (x, y) = (-8.01125, 23.9034)
139: (x, y) = (-11.668, 20.4934)
140: (x, y) = (-16.6194, 21.1893)
141: (x, y) = (-11.7112, 22.1433)
142: (x, y) = (-15.368, 18.7333)
143: (x, y) = (-10.9533, 16.386)
144: (x, y) = (-8.37806, 12.1001)
145: (x, y) = (-7.85542, 17.0727)
146: (x, y) = (-2.98357, 18.1975)
147: (x, y) = (-5.9225, 14.1524)
148: (x, y) = (-4.6284, 18.982)
149: (x, y) = (-9.61622, 18.6332)
150: (x, y) = (-5.0137, 20.5869)
151: (x, y) = (-6.96735, 15.9844)
152: (x, y) = (-3.82075, 19.8701)
153: (x, y) = (-6.68864, 15.7743)
154: (x, y) = (-2.1571, 17.8874)
155: (x, y) = (2.64921, 16.5093)
156: (x, y) = (5.79581, 20.395)
157: (x, y) = (10.789, 20.1333)
158: (x, y) = (7.07324, 23.479)
159: (x, y) = (10.0823, 19.4858)
160: (x, y) = (11.7102, 14.7582)
161: (x, y) = (15.5959, 17.9048)
162: (x, y) = (10.6149, 18.3406)
163: (x, y) = (10.0923, 23.3132)
164: (x, y) = (13.5656, 19.7165)
165: (x, y) = (10.03, 23.252)
166: (x, y) = (5.03307, 23.0775)
167: (x, y) = (7.972, 19.0324)
168: (x, y) = (4.62634, 15.3167)
169: (x, y) = (0.686291, 18.395)
170: (x, y) = (-4.22184, 19.3491)
171: (x, y) = (-4.04735, 14.3521)
172: (x, y) = (-8.54132, 16.544)
173: (x, y) = (-9.06396, 11.5713)
174: (x, y) = (-11.1771, 7.03981)
175: (x, y) = (-11.6128, 12.0208)
176: (x, y) = (-15.4431, 8.80684)
177: (x, y) = (-16.4826, 3.9161)
178: (x, y) = (-12.1968, 1.34091)
179: (x, y) = (-10.0837, -3.19062)
180: (x, y) = (-6.61039, -6.78732)
181: (x, y) = (-10.2071, -10.2606)
182: (x, y) = (-7.26816, -6.21553)
183: (x, y) = (-9.99136, -10.4089)
184: (x, y) = (-10.8596, -5.48484)
185: (x, y) = (-9.99136, -0.560806)
186: (x, y) = (-10.3401, 4.42701)
187: (x, y) = (-5.73762, 6.38067)
188: (x, y) = (-4.61286, 11.2525)
189: (x, y) = (-7.69117, 7.31247)
190: (x, y) = (-3.36104, 4.81247)
191: (x, y) = (-6.01064, 0.572226)
192: (x, y) = (-10.0038, 3.5813)
193: (x, y) = (-5.22229, 5.04316)
194: (x, y) = (-0.690753, 2.93007)
195: (x, y) = (3.63937, 0.430068)
196: (x, y) = (-0.775364, 2.77743)
197: (x, y) = (3.59773, 5.20147)
198: (x, y) = (4.12038, 0.228865)
199: (x, y) = (2.57529, -4.52642)
200: (x, y) = (-2.37605, -3.83055)
201: (x, y) = (1.28072, -7.24054)
202: (x, y) = (-3.54891, -5.94645)
203: (x, y) = (0.596279, -8.74241)
204: (x, y) = (-3.11945, -12.0881)
205: (x, y) = (-2.07989, -16.9788)
206: (x, y) = (-0.126231, -21.5813)
